"","image","plate","column","row","particles","area","perim","mean","circ","AR","round","solidity","r","g","b","sqmm"
"137","IMG_2103.jpg",2,6,"A",2,5341,421.789,87.6825,0.7385,1.602,0.644,0.919,142.955,149.3465,69.4155,7.89661932342843
"138","IMG_2103.jpg",2,6,"B",2,7889,558.885,85,0.584,2.0145,0.538,0.89,119.94,133.4305,53.3835,11.6638138630457
"139","IMG_2103.jpg",2,6,"C",2,7646,570.884,85,0.5895,2.1505,0.465,0.8465,123.959,137.0415,55.273,11.304540600437
"140","IMG_2103.jpg",2,6,"D",2,4876,396.617,85.027,0.7615,1.672,0.6215,0.924,143.121,150.9905,70.144,7.20912110485621
"141","IMG_2103.jpg",2,6,"E",3,9853,717.394,85,0.723,1.79166666666667,0.570666666666667,0.909333333333333,119.398333333333,134.221333333333,55.3323333333333,14.5675697797679
"142","IMG_2103.jpg",2,6,"F",1,684,109.054,85,0.723,1.528,0.654,0.891,120.427,130.57,64.472,1.01128770215784
"143","IMG_2103.jpg",2,6,"G",1,2961,240.108,85,0.645,2.001,0.5,0.884,122.969,137.336,55.339,4.37781123697277
"144","IMG_2103.jpg",2,6,"H",2,5567,461.629,85,0.5555,2.743,0.383,0.879,120.318,133.562,60.3615,8.23075824256245
"145","IMG_2104.jpg",2,7,"A",1,1714,249.439,84.131,0.346,3.112,0.321,0.766,101.33,109.695,41.438,2.44526219938847
"146","IMG_2104.jpg",2,7,"B",1,2502,236.894,85.396,0.56,2.79,0.358,0.909,101.454,114.119,40.652,3.56945508918901
"147","IMG_2104.jpg",2,7,"C",1,4088,389.546,97.977,0.339,1.696,0.59,0.698,115.557,125.524,52.906,5.83210727602105
"148","IMG_2104.jpg",2,7,"D",2,5212,461.203,89.711,0.6255,1.818,0.551,0.8615,104.795,115.7905,48.5765,7.43565144878222
"149","IMG_2104.jpg",2,7,"E",1,609,99.154,83.66,0.778,1.442,0.694,0.949,96.204,106.511,48.174,0.86882420036615
"150","IMG_2104.jpg",2,7,"F",1,2299,222.108,73.66,0.586,2.319,0.431,0.904,88.379,100.992,31.695,3.27984702240029
"151","IMG_2104.jpg",2,7,"G",3,6590,620.482,84.794,0.681333333333333,2.013,0.565333333333333,0.877,100.48,111.995333333333,41.9483333333333,9.40156236521006
"152","IMG_2104.jpg",2,7,"H",1,6388,423.588,77.218,0.447,1.149,0.87,0.831,93.285,104.76,33.549,9.11338093914444
"153","IMG_2104.jpg",2,8,"A",1,3767,257.078,77.278,0.716,1.919,0.521,0.933,93.241,106.347,32.198,5.37415560390687
